verb_form: original add_method: frequency_100 add_key: verb clustering_dataset: c4first c4_rate: 1 settings: ['all_3_0', 'all_3_1', 'all_3_2'] model_name: arcface_classification clustering_method: onestep-average vec_type: wm
|   frame_cluster | setting   |   c4_ratio |   size |   framenet_size |   c4_size | lu_counts                                                                                                                                                                                                                                                                     |
|             217 | all_3_0   |          1 |      2 |               0 |         2 | [{'rustle.v': 2}]                                                                                                                                                                                                                                                             |
|             218 | all_3_0   |          1 |      2 |               0 |         2 | [{'scuffle.v': 2}]                                                                                                                                                                                                                                                            |
|             222 | all_3_0   |          1 |      2 |               0 |         2 | [{'bore.v': 2}]                                                                                                                                                                                                                                                               |
|             224 | all_3_0   |          1 |      2 |               0 |         2 | [{'seed.v': 2}]                                                                                                                                                                                                                                                               |
|             225 | all_3_0   |          1 |      2 |               0 |         2 | [{'yield.v': 2}]                                                                                                                                                                                                                                                              |
|             230 | all_3_0   |          1 |      2 |               0 |         2 | [{'gallivant.v': 2}]                                                                                                                                                                                                                                                          |
|             243 | all_3_0   |          1 |      2 |               0 |         2 | [{'bicycle.v': 1}, {'walk.v': 1}]                                                                                                                                                                                                                                             |
|             254 | all_3_0   |          1 |      2 |               0 |         2 | [{'jump.v': 1}, {'leap frog.v': 1}]                                                                                                                                                                                                                                           |
|             261 | all_3_0   |          1 |      2 |               0 |         2 | [{'cross.v': 2}]                                                                                                                                                                                                                                                              |
|             276 | all_3_0   |          1 |      2 |               0 |         2 | [{'lay out.v': 1}, {'lay.v': 1}]                                                                                                                                                                                                                                              |
|             321 | all_3_0   |          1 |      2 |               0 |         2 | [{'induce.v': 2}]                                                                                                                                                                                                                                                             |
|             354 | all_3_0   |          1 |      2 |               0 |         2 | [{'cross.v': 2}]                                                                                                                                                                                                                                                              |
|             361 | all_3_0   |          1 |      2 |               0 |         2 | [{'include.v': 2}]                                                                                                                                                                                                                                                            |
|             427 | all_3_0   |          1 |      2 |               0 |         2 | [{'entreat.v': 2}]                                                                                                                                                                                                                                                            |
|             437 | all_3_0   |          1 |      2 |               0 |         2 | [{'inform.v': 2}]                                                                                                                                                                                                                                                             |
|             480 | all_3_0   |          1 |      2 |               0 |         2 | [{'rile up.v': 1}, {'wind.v': 1}]                                                                                                                                                                                                                                             |
|             482 | all_3_0   |          1 |      2 |               0 |         2 | [{'endanger.v': 1}, {'infer.v': 1}]                                                                                                                                                                                                                                           |
|             493 | all_3_0   |          1 |      2 |               0 |         2 | [{'face off.v': 1}, {'face.v': 1}]                                                                                                                                                                                                                                            |
|             541 | all_3_0   |          1 |      2 |               0 |         2 | [{'accede.v': 2}]                                                                                                                                                                                                                                                             |
|             542 | all_3_0   |          1 |      2 |               0 |         2 | [{'core.v': 1}, {'coruscate.v': 1}]                                                                                                                                                                                                                                           |
|             552 | all_3_0   |          1 |      2 |               0 |         2 | [{'act.v': 2}]                                                                                                                                                                                                                                                                |
|             577 | all_3_0   |          1 |      2 |               0 |         2 | [{'win.v': 2}]                                                                                                                                                                                                                                                                |
|             582 | all_3_0   |          1 |      2 |               0 |         2 | [{'pay.v': 2}]                                                                                                                                                                                                                                                                |
|             601 | all_3_0   |          1 |      2 |               0 |         2 | [{'lay.v': 2}]                                                                                                                                                                                                                                                                |
|             623 | all_3_0   |          1 |      2 |               0 |         2 | [{'forge.v': 2}]                                                                                                                                                                                                                                                              |
|             687 | all_3_0   |          1 |      2 |               0 |         2 | [{'place.v': 2}]                                                                                                                                                                                                                                                              |
|             692 | all_3_0   |          1 |      2 |               0 |         2 | [{'live.v': 2}]                                                                                                                                                                                                                                                               |
|             693 | all_3_0   |          1 |      2 |               0 |         2 | [{'damn.v': 2}]                                                                                                                                                                                                                                                               |
|             694 | all_3_0   |          1 |      2 |               0 |         2 | [{'wind.v': 2}]                                                                                                                                                                                                                                                               |
|             698 | all_3_0   |          1 |      2 |               0 |         2 | [{'roar.v': 2}]                                                                                                                                                                                                                                                               |
|              29 | all_3_1   |          1 |      2 |               0 |         2 | [{'conflict.v': 2}]                                                                                                                                                                                                                                                           |
|              30 | all_3_1   |          1 |      2 |               0 |         2 | [{'oppose.v': 2}]                                                                                                                                                                                                                                                             |
|              38 | all_3_1   |          1 |      2 |               0 |         2 | [{'run.v': 2}]                                                                                                                                                                                                                                                                |
|              87 | all_3_1   |          1 |      2 |               0 |         2 | [{'set - in - stone.v': 1}, {'set might.v': 1}]                                                                                                                                                                                                                               |
|              95 | all_3_1   |          1 |      2 |               0 |         2 | [{'receive.v': 2}]                                                                                                                                                                                                                                                            |
|             149 | all_3_1   |          1 |      2 |               0 |         2 | [{'book.v': 1}, {'sack.v': 1}]                                                                                                                                                                                                                                                |
|             166 | all_3_1   |          1 |      2 |               0 |         2 | [{'roll.v': 2}]                                                                                                                                                                                                                                                               |
|             169 | all_3_1   |          1 |      2 |               0 |         2 | [{'garage.v': 2}]                                                                                                                                                                                                                                                             |
|             170 | all_3_1   |          1 |      2 |               0 |         2 | [{'drive.v': 1}, {'usb should.v': 1}]                                                                                                                                                                                                                                         |
|             173 | all_3_1   |          1 |      2 |               0 |         2 | [{'spot.v': 2}]                                                                                                                                                                                                                                                               |
|             176 | all_3_1   |          1 |      2 |               0 |         2 | [{'claw.v': 1}, {'head.v': 1}]                                                                                                                                                                                                                                                |
|             178 | all_3_1   |          1 |      2 |               0 |         2 | [{'burrow.v': 1}, {'sing.v': 1}]                                                                                                                                                                                                                                              |
|             207 | all_3_1   |          1 |      2 |               0 |         2 | [{'nettle.v': 2}]                                                                                                                                                                                                                                                             |
|             232 | all_3_1   |          1 |      2 |               0 |         2 | [{'luck drawl.v': 2}]                                                                                                                                                                                                                                                         |
|             246 | all_3_1   |          1 |      2 |               0 |         2 | [{'cast.v': 2}]                                                                                                                                                                                                                                                               |
|             355 | all_3_1   |          1 |      2 |               0 |         2 | [{'cause might.v': 1}, {'result drip.v': 1}]                                                                                                                                                                                                                                  |
|             363 | all_3_1   |          1 |      2 |               0 |         2 | [{'bone.v': 1}, {'wax.v': 1}]                                                                                                                                                                                                                                                 |
|             364 | all_3_1   |          1 |      2 |               0 |         2 | [{'stone.v': 2}]                                                                                                                                                                                                                                                              |
|             368 | all_3_1   |          1 |      2 |               0 |         2 | [{'rouse.v': 2}]                                                                                                                                                                                                                                                              |
|             369 | all_3_1   |          1 |      2 |               0 |         2 | [{'sally.v': 2}]                                                                                                                                                                                                                                                              |
|             373 | all_3_1   |          1 |      2 |               0 |         2 | [{'sober.v': 2}]                                                                                                                                                                                                                                                              |
|             377 | all_3_1   |          1 |      2 |               0 |         2 | [{'puzzle.v': 2}]                                                                                                                                                                                                                                                             |
|             378 | all_3_1   |          1 |      2 |               0 |         2 | [{'warp.v': 2}]                                                                                                                                                                                                                                                               |
|             396 | all_3_1   |          1 |      2 |               0 |         2 | [{'speed - up.v': 2}]                                                                                                                                                                                                                                                         |
|             397 | all_3_1   |          1 |      2 |               0 |         2 | [{'start - up.v': 2}]                                                                                                                                                                                                                                                         |
|             404 | all_3_1   |          1 |      2 |               0 |         2 | [{'lose.v': 2}]                                                                                                                                                                                                                                                               |
|             413 | all_3_1   |          1 |      2 |               0 |         2 | [{'drop.v': 2}]                                                                                                                                                                                                                                                               |
|             417 | all_3_1   |          1 |      2 |               0 |         2 | [{'wax.v': 2}]                                                                                                                                                                                                                                                                |
|             422 | all_3_1   |          1 |      2 |               0 |         2 | [{'accord might.v': 2}]                                                                                                                                                                                                                                                       |
|             429 | all_3_1   |          1 |      2 |               0 |         2 | [{'hail.v': 2}]                                                                                                                                                                                                                                                               |
|             431 | all_3_1   |          1 |      2 |               0 |         2 | [{'use.v': 2}]                                                                                                                                                                                                                                                                |
|             446 | all_3_1   |          1 |      2 |               0 |         2 | [{'scatter.v': 2}]                                                                                                                                                                                                                                                            |
|             448 | all_3_1   |          1 |      2 |               0 |         2 | [{'dress - up.v': 1}, {'dress veil.v': 1}]                                                                                                                                                                                                                                    |
|             452 | all_3_1   |          1 |      2 |               0 |         2 | [{'seal.v': 2}]                                                                                                                                                                                                                                                               |
|             454 | all_3_1   |          1 |      2 |               0 |         2 | [{'blaze.v': 2}]                                                                                                                                                                                                                                                              |
|             458 | all_3_1   |          1 |      2 |               0 |         2 | [{'die - cut.v': 1}, {'die.v': 1}]                                                                                                                                                                                                                                            |
|             469 | all_3_1   |          1 |      2 |               0 |         2 | [{'blanket.v': 1}, {'shield.v': 1}]                                                                                                                                                                                                                                           |
|             475 | all_3_1   |          1 |      2 |               0 |         2 | [{'frame.v': 2}]                                                                                                                                                                                                                                                              |
|             480 | all_3_1   |          1 |      2 |               0 |         2 | [{'flounce.v': 2}]                                                                                                                                                                                                                                                            |
|             523 | all_3_1   |          1 |      2 |               0 |         2 | [{'pass.v': 2}]                                                                                                                                                                                                                                                               |
|             559 | all_3_1   |          1 |      2 |               0 |         2 | [{'huddle.v': 2}]                                                                                                                                                                                                                                                             |
|             582 | all_3_1   |          1 |      2 |               0 |         2 | [{'lash.v': 2}]                                                                                                                                                                                                                                                               |
|             590 | all_3_1   |          1 |      2 |               0 |         2 | [{'finger.v': 2}]                                                                                                                                                                                                                                                             |
|             594 | all_3_1   |          1 |      2 |               0 |         2 | [{'pass over.v': 1}, {'pass.v': 1}]                                                                                                                                                                                                                                           |
|             600 | all_3_1   |          1 |      2 |               0 |         2 | [{'stick.v': 2}]                                                                                                                                                                                                                                                              |
|             610 | all_3_1   |          1 |      2 |               0 |         2 | [{'kick up.v': 2}]                                                                                                                                                                                                                                                            |
|             656 | all_3_1   |          1 |      2 |               0 |         2 | [{'crowd.v': 2}]                                                                                                                                                                                                                                                              |
|             666 | all_3_1   |          1 |      2 |               0 |         2 | [{'tear.v': 2}]                                                                                                                                                                                                                                                               |
|              14 | all_3_2   |          1 |      2 |               0 |         2 | [{'round out.v': 2}]                                                                                                                                                                                                                                                          |
|              35 | all_3_2   |          1 |      2 |               0 |         2 | [{'amount.v': 2}]                                                                                                                                                                                                                                                             |
|              86 | all_3_2   |          1 |      2 |               0 |         2 | [{'pin down.v': 2}]                                                                                                                                                                                                                                                           |
|              94 | all_3_2   |          1 |      2 |               0 |         2 | [{'give.v': 2}]                                                                                                                                                                                                                                                               |
|             130 | all_3_2   |          1 |      2 |               0 |         2 | [{'side.v': 2}]                                                                                                                                                                                                                                                               |
|             153 | all_3_2   |          1 |      2 |               0 |         2 | [{'‐school address.v': 1}, {'‐school push.v': 1}]                                                                                                                                                                                                                             |
|             181 | all_3_2   |          1 |      2 |               0 |         2 | [{'tell - all.v': 1}, {'tell.v': 1}]                                                                                                                                                                                                                                          |
|             189 | all_3_2   |          1 |      2 |               0 |         2 | [{'clear.v': 2}]                                                                                                                                                                                                                                                              |
|             249 | all_3_2   |          1 |      2 |               0 |         2 | [{'rave.v': 2}]                                                                                                                                                                                                                                                               |
|             253 | all_3_2   |          1 |      2 |               0 |         2 | [{'tail.v': 2}]                                                                                                                                                                                                                                                               |
|             270 | all_3_2   |          1 |      2 |               0 |         2 | [{'pounce.v': 2}]                                                                                                                                                                                                                                                             |
|             273 | all_3_2   |          1 |      2 |               0 |         2 | [{'fluster.v': 2}]                                                                                                                                                                                                                                                            |
|             283 | all_3_2   |          1 |      2 |               0 |         2 | [{'sit.v': 2}]                                                                                                                                                                                                                                                                |
|             284 | all_3_2   |          1 |      2 |               0 |         2 | [{'curl.v': 2}]                                                                                                                                                                                                                                                               |
|             286 | all_3_2   |          1 |      2 |               0 |         2 | [{'lean.v': 2}]                                                                                                                                                                                                                                                               |
|             291 | all_3_2   |          1 |      2 |               0 |         2 | [{'come.v': 2}]                                                                                                                                                                                                                                                               |
|             299 | all_3_2   |          1 |      2 |               0 |         2 | [{'come on.v': 2}]                                                                                                                                                                                                                                                            |
|             310 | all_3_2   |          1 |      2 |               0 |         2 | [{'go -.v': 1}, {'go.v': 1}]                                                                                                                                                                                                                                                  |
|             334 | all_3_2   |          1 |      2 |               0 |         2 | [{'lock.v': 2}]                                                                                                                                                                                                                                                               |
|             337 | all_3_2   |          1 |      2 |               0 |         2 | [{'brush up.v': 1}, {'brush.v': 1}]                                                                                                                                                                                                                                           |
|             349 | all_3_2   |          1 |      2 |               0 |         2 | [{'gobble.v': 2}]                                                                                                                                                                                                                                                             |
|             422 | all_3_2   |          1 |      2 |               0 |         2 | [{'bark.v': 1}, {'shake.v': 1}]                                                                                                                                                                                                                                               |
|             433 | all_3_2   |          1 |      2 |               0 |         2 | [{'floor.v': 2}]                                                                                                                                                                                                                                                              |
|             437 | all_3_2   |          1 |      2 |               0 |         2 | [{'row.v': 1}, {'star.v': 1}]                                                                                                                                                                                                                                                 |
|             447 | all_3_2   |          1 |      2 |               0 |         2 | [{'shoulder.v': 2}]                                                                                                                                                                                                                                                           |
|             449 | all_3_2   |          1 |      2 |               0 |         2 | [{'waver.v': 2}]                                                                                                                                                                                                                                                              |
|             451 | all_3_2   |          1 |      2 |               0 |         2 | [{'boat.v': 1}, {'motor.v': 1}]                                                                                                                                                                                                                                               |
|             462 | all_3_2   |          1 |      2 |               0 |         2 | [{'pare.v': 1}, {'stud.v': 1}]                                                                                                                                                                                                                                                |
|             468 | all_3_2   |          1 |      2 |               0 |         2 | [{'crow.v': 1}, {'smile.v': 1}]                                                                                                                                                                                                                                               |
|             472 | all_3_2   |          1 |      2 |               0 |         2 | [{'hurl.v': 2}]                                                                                                                                                                                                                                                               |
|             473 | all_3_2   |          1 |      2 |               0 |         2 | [{'oneself.v': 2}]                                                                                                                                                                                                                                                            |
|             645 | all_3_2   |          1 |      2 |               0 |         2 | [{'succeed.v': 2}]                                                                                                                                                                                                                                                            |
|             649 | all_3_2   |          1 |      2 |               0 |         2 | [{'bind.v': 1}, {'lead.v': 1}]                                                                                                                                                                                                                                                |
|             659 | all_3_2   |          1 |      2 |               0 |         2 | [{'take.v': 2}]                                                                                                                                                                                                                                                               |
|             670 | all_3_2   |          1 |      2 |               0 |         2 | [{'go.v': 2}]                                                                                                                                                                                                                                                                 |
|             672 | all_3_2   |          1 |      2 |               0 |         2 | [{'get together.v': 1}, {'get togethers.v': 1}]                                                                                                                                                                                                                               |
|             684 | all_3_2   |          1 |      2 |               0 |         2 | [{'do.v': 2}]                                                                                                                                                                                                                                                                 |
|             692 | all_3_2   |          1 |      2 |               0 |         2 | [{'end.v': 2}]                                                                                                                                                                                                                                                                |
|              16 | all_3_0   |          1 |      1 |               0 |         1 | [{'brood.v': 1}]                                                                                                                                                                                                                                                              |
|              28 | all_3_0   |          1 |      1 |               0 |         1 | [{'leave.v': 1}]                                                                                                                                                                                                                                                              |
|              43 | all_3_0   |          1 |      1 |               0 |         1 | [{'date.v': 1}]                                                                                                                                                                                                                                                               |
|              50 | all_3_0   |          1 |      1 |               0 |         1 | [{'dial - down.v': 1}]                                                                                                                                                                                                                                                        |
|              51 | all_3_0   |          1 |      1 |               0 |         1 | [{'stripp - down.v': 1}]                                                                                                                                                                                                                                                      |
|              80 | all_3_0   |          1 |      1 |               0 |         1 | [{'discipline.v': 1}]                                                                                                                                                                                                                                                         |
|              95 | all_3_0   |          1 |      1 |               0 |         1 | [{'rout.v': 1}]                                                                                                                                                                                                                                                               |
|              98 | all_3_0   |          1 |      1 |               0 |         1 | [{'guard.v': 1}]                                                                                                                                                                                                                                                              |
|             101 | all_3_0   |          1 |      1 |               0 |         1 | [{'tie.v': 1}]                                                                                                                                                                                                                                                                |
|             104 | all_3_0   |          1 |      1 |               0 |         1 | [{'tackle.v': 1}]                                                                                                                                                                                                                                                             |
|             119 | all_3_0   |          1 |      1 |               0 |         1 | [{'bust.v': 1}]                                                                                                                                                                                                                                                               |
