name,Count,Cumulative Sum,Percentage (%)
reshape.v,1,8261,99.16
contrive.v,1,8262,99.17
convene.v,1,8263,99.18
convict.v,1,8264,99.2
reproduce.v,1,8265,99.21
reprimand.v,1,8266,99.22
repopulate.v,1,8267,99.23
crane.v,1,8268,99.24
crawl.v,1,8269,99.26
rake.v,1,8270,99.27
depose.v,1,8271,99.28
drain.v,1,8272,99.29
rage.v,1,8273,99.3
precede.v,1,8274,99.32
praise.v,1,8275,99.33
pour.v,1,8276,99.34
post.v,1,8277,99.35
disembark.v,1,8278,99.36
poison.v,1,8279,99.38
plunge.v,1,8280,99.39
disobey.v,1,8281,99.4
plead.v,1,8282,99.41
plant.v,1,8283,99.42
disprove.v,1,8284,99.44
disseminate.v,1,8285,99.45
pirate.v,1,8286,99.46
pin.v,1,8287,99.47
pile.v,1,8288,99.48
piece together.v,1,8289,99.5
pick.v,1,8290,99.51
distinguish.v,1,8291,99.52
divert.v,1,8292,99.53
donate.v,1,8293,99.54
double.v,1,8294,99.56
doubt.v,1,8295,99.57
peer.v,1,8296,99.58
peep.v,1,8297,99.59
peel.v,1,8298,99.6
peal.v,1,8299,99.62
partition.v,1,8300,99.63
discontinue.v,1,8301,99.64
discharge.v,1,8302,99.65
preserve.v,1,8303,99.66
deteriorate.v,1,8304,99.68
radiate.v,1,8305,99.69
quiver.v,1,8306,99.7
quiet down.v,1,8307,99.71
question.v,1,8308,99.72
put together.v,1,8309,99.74
put out.v,1,8310,99.75
put an end to.v,1,8311,99.76
detail.v,1,8312,99.77
puff.v,1,8313,99.78
prowl.v,1,8314,99.8
provoke.v,1,8315,99.81
detain.v,1,8316,99.82
proscribe.v,1,8317,99.83
prevail.v,1,8318,99.84
devise.v,1,8319,99.86
propel.v,1,8320,99.87
pronounce.v,1,8321,99.88
diddle.v,1,8322,99.89
differ.v,1,8323,99.9
prolong.v,1,8324,99.92
proliferate.v,1,8325,99.93
prohibit.v,1,8326,99.94
progress.v,1,8327,99.95
prize.v,1,8328,99.96
print.v,1,8329,99.98
disappear.v,1,8330,99.99
zigzag.v,1,8331,100.0


