LU全て
|   year |   Count |   Cumulative Sum |   Percentage (%) |
| water.n                      |      10 |            20745 |            71.68 |
| no.a                         |      10 |            20755 |            71.71 |
| concerned.a                  |      10 |            20765 |            71.75 |
| define.v                     |       9 |            20774 |            71.78 |
| plan.v                       |       9 |            20783 |            71.81 |
| dangerous.a                  |       9 |            20792 |            71.84 |
| outside.a                    |       9 |            20801 |            71.87 |
| suspicion.n                  |       9 |            20810 |            71.9  |
| damage.v                     |       9 |            20819 |            71.94 |
| rise.v                       |       9 |            20828 |            71.97 |
| dismantle.v                  |       9 |            20837 |            72    |
| existence.n                  |       9 |            20846 |            72.03 |
| rely.v                       |       9 |            20855 |            72.06 |
| thousand.num                 |       9 |            20864 |            72.09 |
| famous.a                     |       9 |            20873 |            72.12 |
| May.n                        |       9 |            20882 |            72.15 |
| tour.n                       |       9 |            20891 |            72.18 |
| ten.num                      |       9 |            20900 |            72.22 |
| above.prep                   |       9 |            20909 |            72.25 |
| likely.adv                   |       9 |            20918 |            72.28 |
| enjoy.v                      |       9 |            20927 |            72.31 |
| crowded.a                    |       9 |            20936 |            72.34 |
| regarding.prep               |       9 |            20945 |            72.37 |
| employee.n                   |       9 |            20954 |            72.4  |
| time.n                       |       9 |            20963 |            72.43 |
| lie.v                        |       9 |            20972 |            72.46 |
| express.v                    |       9 |            20981 |            72.5  |
| February.n                   |       9 |            20990 |            72.53 |
| fear.v                       |       9 |            20999 |            72.56 |
| term.n                       |       9 |            21008 |            72.59 |
| protection [entity].n        |       9 |            21017 |            72.62 |
| monastery.n                  |       9 |            21026 |            72.65 |
| stay.v                       |       9 |            21035 |            72.68 |
| address.v                    |       9 |            21044 |            72.71 |
| base.n                       |       9 |            21053 |            72.74 |
| servant.n                    |       9 |            21062 |            72.78 |
| clandestine.a                |       9 |            21071 |            72.81 |
| beautiful.a                  |       9 |            21080 |            72.84 |
| launch.n                     |       9 |            21089 |            72.87 |
| fourth.a                     |       9 |            21098 |            72.9  |
| speak.v                      |       9 |            21107 |            72.93 |
| announcement.n               |       9 |            21116 |            72.96 |
| hectare.n                    |       9 |            21125 |            72.99 |
| southern.a                   |       9 |            21134 |            73.02 |
| between.prep                 |       9 |            21143 |            73.06 |
| lack.n                       |       9 |            21152 |            73.09 |
| recent.a                     |       9 |            21161 |            73.12 |
| unclear.a                    |       9 |            21170 |            73.15 |
| mention.v                    |       9 |            21179 |            73.18 |
| six.num                      |       9 |            21188 |            73.21 |
| willing.a                    |       9 |            21197 |            73.24 |
| willingness.n                |       9 |            21206 |            73.27 |
| view.v                       |       9 |            21215 |            73.3  |
| primary.a                    |       9 |            21224 |            73.34 |
| bridge.n                     |       9 |            21233 |            73.37 |
| land.n                       |       9 |            21242 |            73.4  |
| publication.n                |       9 |            21251 |            73.43 |
| approach.v                   |       9 |            21260 |            73.46 |
| hill.n                       |       9 |            21269 |            73.49 |
| flu.n                        |       9 |            21278 |            73.52 |
| replace.v                    |       9 |            21287 |            73.55 |
| governor.n                   |       9 |            21296 |            73.58 |
| insist.v                     |       9 |            21305 |            73.62 |
| assassinate.v                |       9 |            21314 |            73.65 |
| square.n                     |       9 |            21323 |            73.68 |
| inform.v                     |       9 |            21332 |            73.71 |
| submit.v                     |       9 |            21341 |            73.74 |
| choose.v                     |       9 |            21350 |            73.77 |
| assess.v                     |       9 |            21359 |            73.8  |
| christian.n                  |       9 |            21368 |            73.83 |
| goods.n                      |       9 |            21377 |            73.86 |
| metric ton.n                 |       9 |            21386 |            73.9  |
| active.a                     |       9 |            21395 |            73.93 |
| act.n                        |       9 |            21404 |            73.96 |
| chance.n                     |       9 |            21413 |            73.99 |
| pledge.n                     |       8 |            21421 |            74.02 |
| desert.n                     |       8 |            21429 |            74.04 |
| responsibility.n             |       8 |            21437 |            74.07 |
| resume.v                     |       8 |            21445 |            74.1  |
| highway.n                    |       8 |            21453 |            74.13 |
| situated.a                   |       8 |            21461 |            74.15 |
| urge.v                       |       8 |            21469 |            74.18 |
| until.prep                   |       8 |            21477 |            74.21 |
| murder.v                     |       8 |            21485 |            74.24 |
| meet.v                       |       8 |            21493 |            74.26 |
| decide.v                     |       8 |            21501 |            74.29 |
| although.scon                |       8 |            21509 |            74.32 |
| single.a                     |       8 |            21517 |            74.35 |
| declaration.n                |       8 |            21525 |            74.38 |
| all over.prep                |       8 |            21533 |            74.4  |
| gun.n                        |       8 |            21541 |            74.43 |
| health.n                     |       8 |            21549 |            74.46 |
| defend.v                     |       8 |            21557 |            74.49 |
| head.v                       |       8 |            21565 |            74.51 |
| property.n                   |       8 |            21573 |            74.54 |
| exchange.n                   |       8 |            21581 |            74.57 |
| trial.n                      |       8 |            21589 |            74.6  |
| hundreds.n                   |       8 |            21597 |            74.62 |
| sound.n                      |       8 |            21605 |            74.65 |
| east.a                       |       8 |            21613 |            74.68 |
| back.n                       |       8 |            21621 |            74.71 |
| mid.a                        |       8 |            21629 |            74.73 |
| route.n                      |       8 |            21637 |            74.76 |
| dispute.n                    |       8 |            21645 |            74.79 |
| avoid.v                      |       8 |            21653 |            74.82 |
| rate.n                       |       8 |            21661 |            74.85 |
| east.n                       |       8 |            21669 |            74.87 |
| theater.n                    |       8 |            21677 |            74.9  |
| victim.n                     |       8 |            21685 |            74.93 |
| attend.v                     |       8 |            21693 |            74.96 |
| influence.v                  |       8 |            21701 |            74.98 |
| attack.v                     |       8 |            21709 |            75.01 |
| request.v                    |       8 |            21717 |            75.04 |
| install.v                    |       8 |            21725 |            75.07 |
| institute.n                  |       8 |            21733 |            75.09 |
| intend.v                     |       8 |            21741 |            75.12 |
| incident.n                   |       8 |            21749 |            75.15 |
| teach.v                      |       8 |            21757 |            75.18 |
| ban.v                        |       8 |            21765 |            75.2  |
| so.adv                       |       8 |            21773 |            75.23 |
| piece.n                      |       8 |            21781 |            75.26 |
| destruction.n                |       8 |            21789 |            75.29 |
| enough.adv                   |       8 |            21797 |            75.32 |
| hundred.num                  |       8 |            21805 |            75.34 |
| great.a                      |       8 |            21813 |            75.37 |
| energy.n                     |       8 |            21821 |            75.4  |
| Monday.n                     |       8 |            21829 |            75.43 |
| illicit.a                    |       8 |            21837 |            75.45 |
| palace.n                     |       8 |            21845 |            75.48 |
| beginning.n                  |       8 |            21853 |            75.51 |
| shake.v                      |       8 |            21861 |            75.54 |
| importance.n                 |       8 |            21869 |            75.56 |
| threaten.v                   |       8 |            21877 |            75.59 |
| June.n                       |       8 |            21885 |            75.62 |
| research.v                   |       8 |            21893 |            75.65 |
| explain.v                    |       8 |            21901 |            75.67 |
| ready.a                      |       8 |            21909 |            75.7  |
| prepare.v                    |       8 |            21917 |            75.73 |
| fine.a                       |       8 |            21925 |            75.76 |
| secretly.adv                 |       8 |            21933 |            75.79 |
| daily.a                      |       8 |            21941 |            75.81 |
| foot.n                       |       8 |            21949 |            75.84 |
| succeed.v                    |       8 |            21957 |            75.87 |
| sign.n                       |       8 |            21965 |            75.9  |
| current.a                    |       8 |            21973 |            75.92 |
| point.n                      |       8 |            21981 |            75.95 |
| damage.n                     |       8 |            21989 |            75.98 |
| word.n                       |       8 |            21997 |            76.01 |
| affect.v                     |       8 |            22005 |            76.03 |
| toxin.n                      |       8 |            22013 |            76.06 |
| since.c                      |       8 |            22021 |            76.09 |
| strain.n                     |       8 |            22029 |            76.12 |
| lined.a                      |       8 |            22037 |            76.14 |
| numerous.a                   |       8 |            22045 |            76.17 |
| under.prep                   |       8 |            22053 |            76.2  |
| form.v                       |       8 |            22061 |            76.23 |
| kingdom.n                    |       8 |            22069 |            76.26 |
| fifty.num                    |       8 |            22077 |            76.28 |
| prime minister.n             |       8 |            22085 |            76.31 |
| check.v                      |       8 |            22093 |            76.34 |
| free.a                       |       8 |            22101 |            76.37 |
| foreigner.n                  |       8 |            22109 |            76.39 |
| potential.n                  |       8 |            22117 |            76.42 |
| finish.v                     |       8 |            22125 |            76.45 |
| kitchen.n                    |       8 |            22133 |            76.48 |
| northern.a                   |       8 |            22141 |            76.5  |
| completion.n                 |       7 |            22148 |            76.53 |
| lethal.a                     |       7 |            22155 |            76.55 |
| disclose.v                   |       7 |            22162 |            76.58 |
| elsewhere.adv                |       7 |            22169 |            76.6  |
| strike.v                     |       7 |            22176 |            76.62 |
| law.n                        |       7 |            22183 |            76.65 |
| cheap.a                      |       7 |            22190 |            76.67 |
| because of.prep              |       7 |            22197 |            76.7  |
| companion.n                  |       7 |            22204 |            76.72 |
| summer.n                     |       7 |            22211 |            76.75 |
| impact.n                     |       7 |            22218 |            76.77 |
| appreciate.v                 |       7 |            22225 |            76.79 |
| sixty.num                    |       7 |            22232 |            76.82 |
| mother.n                     |       7 |            22239 |            76.84 |
| sometimes.adv                |       7 |            22246 |            76.87 |
| tram.n                       |       7 |            22253 |            76.89 |
| critical.a                   |       7 |            22260 |            76.92 |
| pagoda.n                     |       7 |            22267 |            76.94 |
| blaze.n                      |       7 |            22274 |            76.96 |
| criticize.v                  |       7 |            22281 |            76.99 |
| violation.n                  |       7 |            22288 |            77.01 |
| wonder.v                     |       7 |            22295 |            77.04 |
| increase.n                   |       7 |            22302 |            77.06 |
| inventory.n                  |       7 |            22309 |            77.08 |
| assassination.n              |       7 |            22316 |            77.11 |
| document.n                   |       7 |            22323 |            77.13 |
| arms.n                       |       7 |            22330 |            77.16 |
| December.n                   |       7 |            22337 |            77.18 |
| power [govt].n               |       7 |            22344 |            77.21 |
| request.n                    |       7 |            22351 |            77.23 |
| assemble.v                   |       7 |            22358 |            77.25 |
| trouble.n                    |       7 |            22365 |            77.28 |
| technician.n                 |       7 |            22372 |            77.3  |
| reprocess.v                  |       7 |            22379 |            77.33 |
| American.n                   |       7 |            22386 |            77.35 |
| offensive.n                  |       7 |            22393 |            77.37 |
| institution.n                |       7 |            22400 |            77.4  |
| as.adv                       |       7 |            22407 |            77.42 |
| flee.v                       |       7 |            22414 |            77.45 |
| truck.n                      |       7 |            22421 |            77.47 |
| divide.v                     |       7 |            22428 |            77.5  |
| so far.adv                   |       7 |            22435 |            77.52 |
| aware.a                      |       7 |            22442 |            77.54 |
| condition.n                  |       7 |            22449 |            77.57 |
| obligation.n                 |       7 |            22456 |            77.59 |
| could.v                      |       7 |            22463 |            77.62 |
| violate.v                    |       7 |            22470 |            77.64 |
| fill.v                       |       7 |            22477 |            77.66 |
| required.a                   |       7 |            22484 |            77.69 |
| skyscraper.n                 |       7 |            22491 |            77.71 |
| focus.v                      |       7 |            22498 |            77.74 |
| structure.n                  |       7 |            22505 |            77.76 |
| argue.v                      |       7 |            22512 |            77.79 |
| weaponry.n                   |       7 |            22519 |            77.81 |
| eastern.a                    |       7 |            22526 |            77.83 |
| peak.n                       |       7 |            22533 |            77.86 |
| armed.a                      |       7 |            22540 |            77.88 |
| relation.n                   |       7 |            22547 |            77.91 |
| pursue.v                     |       7 |            22554 |            77.93 |
| storage.n                    |       7 |            22561 |            77.96 |
| spring.n                     |       7 |            22568 |            77.98 |
| challenge.n                  |       7 |            22575 |            78    |
| ship.n                       |       7 |            22582 |            78.03 |
| risk.n                       |       7 |            22589 |            78.05 |
| province.n                   |       7 |            22596 |            78.08 |
| next.a                       |       7 |            22603 |            78.1  |
| go on.v                      |       7 |            22610 |            78.12 |
| oven.n                       |       7 |            22617 |            78.15 |
| prove.v                      |       7 |            22624 |            78.17 |
| play.v                       |       7 |            22631 |            78.2  |
| know-how.n                   |       7 |            22638 |            78.22 |
| promise.v                    |       7 |            22645 |            78.25 |
| busy.a                       |       7 |            22652 |            78.27 |
| proceed.v                    |       7 |            22659 |            78.29 |
| prison.n                     |       7 |            22666 |            78.32 |
| excursion.n                  |       7 |            22673 |            78.34 |
| contract.n                   |       7 |            22680 |            78.37 |
| citizen.n                    |       7 |            22687 |            78.39 |
| allege.v                     |       7 |            22694 |            78.41 |
| knowledge.n                  |       7 |            22701 |            78.44 |
| resolve.v                    |       7 |            22708 |            78.46 |
| demand.n                     |       7 |            22715 |            78.49 |
| narrow.a                     |       7 |            22722 |            78.51 |
| aid [act].n                  |       7 |            22729 |            78.54 |
| utilise.v                    |       7 |            22736 |            78.56 |
| halt.v                       |       7 |            22743 |            78.58 |
| definition.n                 |       7 |            22750 |            78.61 |
| south.n                      |       7 |            22757 |            78.63 |
| need.n                       |       7 |            22764 |            78.66 |
| almost.prep                  |       7 |            22771 |            78.68 |
| charge.n                     |       7 |            22778 |            78.7  |
| accede.v                     |       7 |            22785 |            78.73 |
| Thursday.n                   |       7 |            22792 |            78.75 |
| characterize.v               |       7 |            22799 |            78.78 |
| refuse.v                     |       7 |            22806 |            78.8  |
| kid.n                        |       7 |            22813 |            78.83 |
| entire.a                     |       7 |            22820 |            78.85 |
| born.v                       |       7 |            22827 |            78.87 |
| view.n                       |       7 |            22834 |            78.9  |
| opposition [act].n           |       7 |            22841 |            78.92 |
| indication.n                 |       6 |            22847 |            78.94 |
| drill.n                      |       6 |            22853 |            78.96 |
| gulf.n                       |       6 |            22859 |            78.98 |
| struggle.n                   |       6 |            22865 |            79.01 |
| liquid.n                     |       6 |            22871 |            79.03 |
| lab.n                        |       6 |            22877 |            79.05 |
| slide.v                      |       6 |            22883 |            79.07 |
| green.a                      |       6 |            22889 |            79.09 |
| drug.n                       |       6 |            22895 |            79.11 |
| explosive.n                  |       6 |            22901 |            79.13 |
| finally.adv                  |       6 |            22907 |            79.15 |
| sand.n                       |       6 |            22913 |            79.17 |
| neighbor.n                   |       6 |            22919 |            79.19 |
| seven.num                    |       6 |            22925 |            79.21 |
| grand.a                      |       6 |            22931 |            79.23 |
| inhabitant.n                 |       6 |            22937 |            79.25 |
| split.v                      |       6 |            22943 |            79.28 |
| settlement [entity].n        |       6 |            22949 |            79.3  |
| injury.n                     |       6 |            22955 |            79.32 |
| earn.v                       |       6 |            22961 |            79.34 |
| flourish.v                   |       6 |            22967 |            79.36 |
| negotiate.v                  |       6 |            22973 |            79.38 |
| interested.a                 |       6 |            22979 |            79.4  |
| medicine.n                   |       6 |            22985 |            79.42 |
| growth.n                     |       6 |            22991 |            79.44 |
| export [entity].n            |       6 |            22997 |            79.46 |
| exercise.n                   |       6 |            23003 |            79.48 |
| kidnap.v                     |       6 |            23009 |            79.5  |
| rumor.n                      |       6 |            23015 |            79.52 |
| opposite.prep                |       6 |            23021 |            79.54 |
| section.n                    |       6 |            23027 |            79.57 |
| issue.v                      |       6 |            23033 |            79.59 |
| mosque.n                     |       6 |            23039 |            79.61 |
| not.adv                      |       6 |            23045 |            79.63 |
| mansion.n                    |       6 |            23051 |            79.65 |
| identify.v                   |       6 |            23057 |            79.67 |
| hit.v                        |       6 |            23063 |            79.69 |
| friendly.a                   |       6 |            23069 |            79.71 |
| husband.n                    |       6 |            23075 |            79.73 |
| generate.v                   |       6 |            23081 |            79.75 |
| familiar.a                   |       6 |            23087 |            79.77 |
| gather.v                     |       6 |            23093 |            79.79 |
| suffer.v                     |       6 |            23099 |            79.81 |
| hope.n                       |       6 |            23105 |            79.83 |
| oppose.v                     |       6 |            23111 |            79.86 |
| stock.n                      |       6 |            23117 |            79.88 |
| son.n                        |       6 |            23123 |            79.9  |
| huge.a                       |       6 |            23129 |            79.92 |
| housing.n                    |       6 |            23135 |            79.94 |
| lane.n                       |       6 |            23141 |            79.96 |
| pace.n                       |       6 |            23147 |            79.98 |
| lose.v                       |       6 |            23153 |            80    |
| encourage.v                  |       6 |            23159 |            80.02 |
| employment.n                 |       6 |            23165 |            80.04 |
| lake.n                       |       6 |            23171 |            80.06 |
| invite.v                     |       6 |            23177 |            80.08 |
| smile.v                      |       6 |            23183 |            80.1  |
| seize.v                      |       6 |            23189 |            80.13 |
| effect.n                     |       6 |            23195 |            80.15 |
| field.n                      |       6 |            23201 |            80.17 |
| sights.n                     |       6 |            23207 |            80.19 |
| tea.n                        |       6 |            23213 |            80.21 |
| manage.v                     |       6 |            23219 |            80.23 |
| newspaper.n                  |       6 |            23225 |            80.25 |
| former.a                     |       6 |            23231 |            80.27 |
| everywhere.adv               |       6 |            23237 |            80.29 |
| list.n                       |       6 |            23243 |            80.31 |
| eventually.adv               |       6 |            23249 |            80.33 |
| event.n                      |       6 |            23255 |            80.35 |
| impressive.a                 |       6 |            23261 |            80.37 |
| electricity.n                |       6 |            23267 |            80.39 |
| factor.n                     |       6 |            23273 |            80.42 |
| emerge.v                     |       6 |            23279 |            80.44 |
| emphasis.n                   |       6 |            23285 |            80.46 |
| glass.n                      |       6 |            23291 |            80.48 |
| skill.n                      |       6 |            23297 |            80.5  |
| fly.v                        |       6 |            23303 |            80.52 |
| draw.v                       |       6 |            23309 |            80.54 |
| presidential.a               |       6 |            23315 |            80.56 |
| possibility.n                |       6 |            23321 |            80.58 |
| potential.a                  |       6 |            23327 |            80.6  |
| congressman.n                |       6 |            23333 |            80.62 |
| conflict.n                   |       6 |            23339 |            80.64 |
| conference.n                 |       6 |            23345 |            80.66 |
| concerning.prep              |       6 |            23351 |            80.68 |
| commander.n                  |       6 |            23357 |            80.71 |
| restore.v                    |       6 |            23363 |            80.73 |
| unclassified.a               |       6 |            23369 |            80.75 |
| previous.a                   |       6 |            23375 |            80.77 |
| college.n                    |       6 |            23381 |            80.79 |
| closed.a                     |       6 |            23387 |            80.81 |
| class.n                      |       6 |            23393 |            80.83 |
| chief.n                      |       6 |            23399 |            80.85 |
| contribution.n               |       6 |            23405 |            80.87 |
| cool.a                       |       6 |            23411 |            80.89 |
| port.n                       |       6 |            23417 |            80.91 |
| cost.n                       |       6 |            23423 |            80.93 |
| cost.v                       |       6 |            23429 |            80.95 |
| transport.v                  |       6 |            23435 |            80.98 |
| cover.v                      |       6 |            23441 |            81    |
| covert.a                     |       6 |            23447 |            81.02 |
| poison.n                     |       6 |            23453 |            81.04 |
| currently.adv                |       6 |            23459 |            81.06 |
| daily.adv                    |       6 |            23465 |            81.08 |
| totally.adv                  |       6 |            23471 |            81.1  |
| total.a                      |       6 |            23477 |            81.12 |
| decline.v                    |       6 |            23483 |            81.14 |
| defeat.n                     |       6 |            23489 |            81.16 |
| demand.v                     |       6 |            23495 |            81.18 |
| too.adv                      |       6 |            23501 |            81.2  |
| chapter.n                    |       6 |            23507 |            81.22 |
| cat.n                        |       6 |            23513 |            81.24 |
| tip.n                        |       6 |            23519 |            81.27 |
| adult.n                      |       6 |            23525 |            81.29 |
| raw.a                        |       6 |            23531 |            81.31 |
| already.adv                  |       6 |            23537 |            81.33 |
| realize.v                    |       6 |            23543 |            81.35 |
| wish.v                       |       6 |            23549 |            81.37 |
| with.prep                    |       6 |            23555 |            81.39 |
| afternoon.n                  |       6 |            23561 |            81.41 |
| adopt.v                      |       6 |            23567 |            81.43 |
| prosperity.n                 |       6 |            23573 |            81.45 |
| wonderful.a                  |       6 |            23579 |            81.47 |
| account.v                    |       6 |            23585 |            81.49 |
| renew.v                      |       6 |            23591 |            81.51 |
| Tuesday.n                    |       6 |            23597 |            81.53 |
| Scud-B missile.n             |       6 |            23603 |            81.56 |
| Friday.n                     |       6 |            23609 |            81.58 |
| apartment.n                  |       6 |            23615 |            81.6  |
| approve.v                    |       6 |            23621 |            81.62 |
| arrest.n                     |       6 |            23627 |            81.64 |
| arrival.n                    |       6 |            23633 |            81.66 |
| assembly.n                   |       6 |            23639 |            81.68 |
| assert.v                     |       6 |            23645 |            81.7  |
| west.n                       |       6 |            23651 |            81.72 |
| railway.n                    |       6 |            23657 |            81.74 |
| attract.v                    |       6 |            23663 |            81.76 |
| weather.n                    |       6 |            23669 |            81.78 |
| wear.v                       |       6 |            23675 |            81.8  |
| walk.n                       |       6 |            23681 |            81.83 |
| blue.a                       |       6 |            23687 |            81.85 |
| border.n                     |       6 |            23693 |            81.87 |
| version.n                    |       6 |            23699 |            81.89 |
| protocol.n                   |       6 |            23705 |            81.91 |
| canadian.a                   |       6 |            23711 |            81.93 |
| desire.n                     |       6 |            23717 |            81.95 |
| dissatisfied.a               |       6 |            23723 |            81.97 |
| pattern.n                    |       6 |            23729 |            81.99 |
| discovery.n                  |       6 |            23735 |            82.01 |
| testing.n                    |       6 |            23741 |            82.03 |
| thank.v                      |       6 |            23747 |            82.05 |
| doctor.n                     |       6 |            23753 |            82.07 |
| though.scon                  |       6 |            23759 |            82.09 |
| confront.v                   |       5 |            23764 |            82.11 |
| millions.n                   |       5 |            23769 |            82.13 |
| face.v                       |       5 |            23774 |            82.15 |
| associate.n                  |       5 |            23779 |            82.16 |
| tradition.n                  |       5 |            23784 |            82.18 |
| factory.n                    |       5 |            23789 |            82.2  |
| dominate.v                   |       5 |            23794 |            82.22 |
| tunnel.n                     |       5 |            23799 |            82.23 |
| trafficker.n                 |       5 |            23804 |            82.25 |
| disaster.n                   |       5 |            23809 |            82.27 |
| casualty.n                   |       5 |            23814 |            82.28 |
| guy.n                        |       5 |            23819 |            82.3  |
| west.a                       |       5 |            23824 |            82.32 |
| settlement.n                 |       5 |            23829 |            82.34 |
| inland.a                     |       5 |            23834 |            82.35 |
| cascade.n                    |       5 |            23839 |            82.37 |
| miss.v                       |       5 |            23844 |            82.39 |
| weekend.n                    |       5 |            23849 |            82.41 |
| observe.v                    |       5 |            23854 |            82.42 |
| set.n                        |       5 |            23859 |            82.44 |
| north.n                      |       5 |            23864 |            82.46 |
| cry.v                        |       5 |            23869 |            82.47 |
| ordinary.a                   |       5 |            23874 |            82.49 |
| rural.a                      |       5 |            23879 |            82.51 |
| crisis.n                     |       5 |            23884 |            82.53 |
| shelter.n                    |       5 |            23889 |            82.54 |
| aluminum.n                   |       5 |            23894 |            82.56 |
| japanese.a                   |       5 |            23899 |            82.58 |
| chairman.n                   |       5 |            23904 |            82.6  |
| item.n                       |       5 |            23909 |            82.61 |
| ample.a                      |       5 |            23914 |            82.63 |
| certainly.adv                |       5 |            23919 |            82.65 |
| forest.n                     |       5 |            23924 |            82.66 |
| annual.a                     |       5 |            23929 |            82.68 |
| rise.n                       |       5 |            23934 |            82.7  |
| particular.a                 |       5 |            23939 |            82.72 |
| wife.n                       |       5 |            23944 |            82.73 |
| there.adv                    |       5 |            23949 |            82.75 |
| investigate.v                |       5 |            23954 |            82.77 |
| wide.a                       |       5 |            23959 |            82.79 |
| confidence.n                 |       5 |            23964 |            82.8  |
| ceiling.n                    |       5 |            23969 |            82.82 |
| cave.n                       |       5 |            23974 |            82.84 |
| approximately.adv            |       5 |            23979 |            82.85 |
| several.n                    |       5 |            23984 |            82.87 |
| spring.v                     |       5 |            23989 |            82.89 |
| cartel.n                     |       5 |            23994 |            82.91 |
| weaponization.n              |       5 |            23999 |            82.92 |
| weaponize.v                  |       5 |            24004 |            82.94 |
| fifteen.num                  |       5 |            24009 |            82.96 |
| blame.v                      |       5 |            24014 |            82.98 |
| bring about.v                |       5 |            24019 |            82.99 |
| travel.n                     |       5 |            24024 |            83.01 |
| house.v                      |       5 |            24029 |            83.03 |
| bombing.n                    |       5 |            24034 |            83.04 |
| victory.n                    |       5 |            24039 |            83.06 |
| break out.v                  |       5 |            24044 |            83.08 |
| portion.n                    |       5 |            24049 |            83.1  |
| sound.v                      |       5 |            24054 |            83.11 |
| offensive.a                  |       5 |            24059 |            83.13 |
| mr.n                         |       5 |            24064 |            83.15 |
| honor.v                      |       5 |            24069 |            83.17 |
| treat.v                      |       5 |            24074 |            83.18 |
| publicly.adv                 |       5 |            24079 |            83.2  |
| homeland.n                   |       5 |            24084 |            83.22 |
| boundary.n                   |       5 |            24089 |            83.23 |
| fire fighter.n               |       5 |            24094 |            83.25 |
| fish.v                       |       5 |            24099 |            83.27 |
| conversion.n                 |       5 |            24104 |            83.29 |
| hire.v                       |       5 |            24109 |            83.3  |
| convention.n                 |       5 |            24114 |            83.32 |
| rich.a                       |       5 |            24119 |            83.34 |
| push.v                       |       5 |            24124 |            83.36 |
| alleged.a                    |       5 |            24129 |            83.37 |
| serious.a                    |       5 |            24134 |            83.39 |
| capacity.n                   |       5 |            24139 |            83.41 |
| conquer.v                    |       5 |            24144 |            83.42 |
| rescue.v                     |       5 |            24149 |            83.44 |
| crew.n                       |       5 |            24154 |            83.46 |
| band.n                       |       5 |            24159 |            83.48 |
| bar.n                        |       5 |            24164 |            83.49 |
| barrel.n                     |       5 |            24169 |            83.51 |
| scene.n                      |       5 |            24174 |            83.53 |
| improve.v                    |       5 |            24179 |            83.55 |
| basement.n                   |       5 |            24184 |            83.56 |
| vanish.v                     |       5 |            24189 |            83.58 |
| obvious.a                    |       5 |            24194 |            83.6  |
| import [entity].n            |       5 |            24199 |            83.61 |
| implementation.n             |       5 |            24204 |            83.63 |
| covered.a                    |       5 |            24209 |            83.65 |
| behavior.n                   |       5 |            24214 |            83.67 |
| quarter.n                    |       5 |            24219 |            83.68 |
| rest.n                       |       5 |            24224 |            83.7  |
| quake.n                      |       5 |            24229 |            83.72 |
| couple.n                     |       5 |            24234 |            83.74 |
| illegal.a                    |       5 |            24239 |            83.75 |
| player.n                     |       5 |            24244 |            83.77 |
| amid.prep                    |       5 |            24249 |            83.79 |
| alive.a                      |       5 |            24254 |            83.8  |
| light [weight].a             |       5 |            24259 |            83.82 |
| regulation.n                 |       5 |            24264 |            83.84 |
| literature.n                 |       5 |            24269 |            83.86 |
| abandon.v                    |       5 |            24274 |            83.87 |
| determine.v                  |       5 |            24279 |            83.89 |
| notice.v                     |       5 |            24284 |            83.91 |
| remove.v                     |       5 |            24289 |            83.93 |
| prior.adv                    |       5 |            24294 |            83.94 |
| line.n                       |       5 |            24299 |            83.96 |
| reform.n                     |       5 |            24304 |            83.98 |
| reduction.n                  |       5 |            24309 |            84    |
| access.n                     |       5 |            24314 |            84.01 |
| acknowledge.v                |       5 |            24319 |            84.03 |
| level.n                      |       5 |            24324 |            84.05 |
| clothing.n                   |       5 |            24329 |            84.06 |
| shoot.v                      |       5 |            24334 |            84.08 |
| massive.a                    |       5 |            24339 |            84.1  |
| erect.v                      |       5 |            24344 |            84.12 |
| red.a                        |       5 |            24349 |            84.13 |
| master.n                     |       5 |            24354 |            84.15 |
| essential.a                  |       5 |            24359 |            84.17 |
| account.n                    |       5 |            24364 |            84.19 |
| drop.v                       |       5 |            24369 |            84.2  |
| lively.a                     |       5 |            24374 |            84.22 |
| undertake.v                  |       5 |            24379 |            84.24 |
| coffee.n                     |       5 |            24384 |            84.25 |
| Wednesday.n                  |       5 |            24389 |            84.27 |
| emperor.n                    |       5 |            24394 |            84.29 |
| thrive.v                     |       5 |            24399 |            84.31 |
| previously.adv               |       5 |            24404 |            84.32 |
| machine.n                    |       5 |            24409 |            84.34 |
| combine.v                    |       5 |            24414 |            84.36 |
| undergo.v                    |       5 |            24419 |            84.38 |
| gallery.n                    |       5 |            24424 |            84.39 |
| lucky.a                      |       5 |            24429 |            84.41 |
| diplomat.n                   |       5 |            24434 |            84.43 |
| July.n                       |       5 |            24439 |            84.44 |
| end up.v                     |       5 |            24444 |            84.46 |
